"","Nama.Produk","Nama.Prosesor","Nama.GPU","Harga","Gambar","Berat","Kipas","Backlight.Keyboard","Volume","Lebar","Ketinggian","Ketebalan","Ukuran.Layar","Resolusi","Kerapatan.Piksel","Jenis.Layar","Layar.Sentuh","Anti.Pantul","RAM","Kecepatan.RAM","Penyimpanan.Flash","Penyimpanan.Internal","Kecepatan.CPU","Thread.CPU","SSD.NVME","HDMI","USB.Daya","Adaptor.Magsafe","Suara.Stereo","Konektor.Suara.3,5mm","Dolby.Atmos","Stylus","Pemindai.Sidikjari","Jumlah.Mikrofon","Pengenal.Wajah.3D"
"612","Dell XPS 13 (2021)","Intel Core i3-1115G4 3GHz","Integrated",689,"https://images.versus.io/objects/dell-xps-13-2021-intel-core-i3-1115g4-3ghz-8gb-ram-256gb-ssd.front.master.1618846621488.jpg",1.2,0,1,869.583,295.7,198.7,14.8,13.4,"1920 x 1200px",169,"IPS, LCD, LED-backlit",0,1,8,3733,1,256,"2 x 3GHz",4,0,0,1,0,1,1,0,0,1,1,1
"613","Microsoft Surface Laptop 4 15""","Intel Core i7-1185G7 3GHz","Integrated",1100,"https://images.versus.io/objects/microsoft-surface-laptop-4-15-intel-core-i7-1185g7-3ghz-32gb-ram-1tb-ssd.front.master.1618411340307.jpg",1.54,0,1,1217.723,339.5,244,14.7,15,"2496 x 1664px",201,"IPS, LCD, LED-backlit",1,0,32,4267,1,1000,"4 x 3GHz",8,0,0,1,0,1,1,0,0,0,2,1
"614","Dell XPS 13 (2021)","Intel Core i7-1185G7 3GHz","Integrated",1549,"https://images.versus.io/objects/dell-xps-13-2021-intel-core-i7-1185g7-3ghz-16gb-ram-512gb-ssd.front.master.1618846876389.jpg",1.27,0,1,869.583,295.7,198.7,14.8,13.4,"3456 x 2160px",304,"OLED/AMOLED",1,1,16,4267,1,512,"4 x 3GHz",8,0,0,1,0,1,1,0,0,1,1,1
"616","Samsung Galaxy Book LTE 15.6""","Intel Core i7-1165G7 2.8GHz","Integrated",1000,"https://images.versus.io/objects/samsung-galaxy-book-lte-15-6-intel-core-i7-1165g7-2-8ghz-16gb-ram-512gb-ssd.front.master.1622043218480.jpg",1.55,0,0,1258.133,356.6,229.1,15.4,15.6,"1920 x 1080px",141,"LED-backlit, LCD",0,0,16,4267,1,512,"4 x 2.8GHz",8,0,1,1,0,1,1,0,0,1,2,0
"617","Asus E410MA 14""","Intel Celeron N4020 1.1GHz","Integrated",219,"https://images.versus.io/objects/asus-e410ma-14-intel-celeron-n4020-1-1ghz-4gb-ram-64gb-ssd.front.master.1687187076961.jpg",1.3,0,1,1269.453,325,217,18,14,"1366 x 768px",111,"LED-backlit",0,1,4,2400,1,64,"2 x 1.1GHz",2,0,1,1,0,1,1,0,0,0,1,0
"618","Samsung Galaxy Book WiFi 15.6""","Intel Core i3-1115G4 3GHz","Integrated",490,"https://images.versus.io/objects/samsung-galaxy-book-wifi-15-6-intel-core-i3-1115g4-3ghz-8gb-ram-256gb-ssd.front.master.1622043325076.jpg",1.55,0,0,1258.133,356.6,229.1,15.4,15.6,"1920 x 1080px",141,"LED-backlit, LCD",0,0,8,3733,1,256,"2 x 3GHz",4,0,1,1,0,1,1,0,0,1,2,0
"619","MSI Prestige 14 A11SC-005 14"" FHD","Intel Core i7-1185G7 3GHz","Nvidia GeForce GTX 1650 Laptop ",546,"https://images.versus.io/objects/msi-prestige-14-a11sc-005-14-fhd-intel-core-i7-1185g7-3ghz-nvidia-geforce-gtx-1650-laptop-16gb-ram-512gb-ssd.front.master.1665751354026.jpg",1.29,0,1,1047.913,319,219,15,14,"1920 x 1080px",157,"IPS, LCD, LED-backlit",0,0,16,1800,1,512,"4 x 3GHz",8,1,0,1,0,1,1,0,0,0,1,0
"620","Microsoft Surface Laptop 4 13.5""","Intel Core i5-1135G7 2.4GHz","Integrated",705,"https://images.versus.io/objects/microsoft-surface-laptop-4-13-5-intel-core-i5-1135g7-2-4ghz-16gb-am-512gb-ssd.front.master.1618412756145.jpg",1.29,0,1,995.923,308,223,14.5,13.5,"2256 x 1504px",201,"IPS, LCD, LED-backlit",1,0,16,4267,1,512,"4 x 2.4GHz",8,0,0,1,0,1,1,0,0,0,2,1
"621","Samsung Galaxy Book LTE 15.6""","Intel Core i5-1135G7 2.4GHz","Integrated",490,"https://images.versus.io/objects/samsung-galaxy-book-lte-15-6-intel-core-i5-1135g7-2-4ghz-8gb-ram-256gb-ssd.front.master.1622043025853.jpg",1.55,0,0,1258.133,356.6,229.1,15.4,15.6,"1920 x 1080px",141,"LED-backlit, LCD",0,0,8,4267,1,256,"4 x 2.4GHz",8,0,1,1,0,1,1,0,0,1,2,0
"622","Microsoft Surface Laptop 4 13.5""","AMD Ryzen 5 4680U 2.1","Integrated",479,"https://images.versus.io/objects/microsoft-surface-laptop-4-13-5-amd-ryzen-5-4680u-2-1-16gb-ram-512gb-ssd.front.master.1618411977684.jpg",1.26,0,1,995.923,308,223,14.5,13.5,"2256 x 1504px",201,"IPS, LCD, LED-backlit",1,0,16,3200,1,512,"6 x 2.1GHz",12,0,0,1,0,1,1,0,0,0,2,1
