"","Nama.Produk","Nama.Prosesor","Nama.GPU","Harga","Gambar","Berat","Kipas","Backlight.Keyboard","Volume","Lebar","Ketinggian","Ketebalan","Ukuran.Layar","Resolusi","Kerapatan.Piksel","Jenis.Layar","Layar.Sentuh","Anti.Pantul","RAM","Kecepatan.RAM","Penyimpanan.Flash","Penyimpanan.Internal","Kecepatan.CPU","Thread.CPU","SSD.NVME","HDMI","USB.Daya","Adaptor.Magsafe","Suara.Stereo","Konektor.Suara.3,5mm","Dolby.Atmos","Stylus","Pemindai.Sidikjari","Jumlah.Mikrofon","Pengenal.Wajah.3D"
"929","MSI GV72 7RE 17.3""","Intel Core i7-7700HQ 2.8GHz","Nvidia GeForce GTX 1050 Ti Laptop ",0.285178942233662,"https://images.versus.io/objects/msi-gv72-7re-17-3-intel-core-i7-7700hq-2-8ghz-nvidia-geforce-gtx-1050-ti-laptop-8gb-ram-128gb-ssd-1tb-hdd.front.master.1614549314030.jpg",0.993251773010283,0,1,8.25534259499872,41.9,5.35723809439155,1.16315080980568,1.33341666406266,"1920 x 1080px",1.57777944725274,"IPS, LCD, LED-backlit",0,1,2.07944154167984,7.78322401633604,1,4.85203026391962,"4 x 2.8GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"930","Huawei MateBook X Pro 13.9""","Intel Core i5-8250U 1.6GHz","Integrated",-0.512493680866688,"https://images.versus.io/objects/huawei-matebook-x-pro-13-9-intel-core-i5-8250u-1-6ghz-8gb-256gb-ssd.front.master.1576684641045.jpg",0.285178942233662,0,1,6.8701915123345,21.7,5.51361950083609,0.378436435720245,3.22707297717297,"3000 x 2000px",1.71502745296964,"LED-backlit, LCD",1,1,2.07944154167984,7.66528471847135,1,5.54517744447956,"4 x 1.6GHz",2.07944154167984,0,0,1,0,1,1,0,0,0,1,0
"931","Apple MacBook Air Retina (2018) 13.3""","Intel Core i5 1.6GHz","Integrated",0.0778865386570712,"https://images.versus.io/objects/apple-macbook-air-retina-2018-13-3-intel-core-i5-1-6ghz-16gb-ram-1-5tb-ssd.front.master.1576684641045.jpg",0.22314355131421,0,1,6.91534937073639,30.41,4.60868744872116,0.444685821261446,3.45514109697419,"2560 x 1600px",1.6910086860166,"IPS, LCD, LED-backlit",0,0,2.77258872223978,7.66528471847135,1,7.3132203870903,"2 x 1.6GHz",2.484906649788,0,0,1,0,1,1,0,0,1,3,0
"932","MSI GF62 7RD 15.6""","Intel Core i5-7300HQ 2.5GHz","Nvidia GeForce GTX 1050 Laptop ",-0.468404907882039,"https://images.versus.io/objects/msi-gf62-7rd-15-6-intel-core-i5-7300hq-2-5ghz-nvidia-geforce-gtx-1050-laptop-8gb-ram-1tb-hdd.front.master.1614547449582.jpg",0.78845736036427,0,1,7.96825821004588,38.3,5.09901951359278,1.06471073699243,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS, LCD, LED-backlit",0,1,2.07944154167984,7.78322401633604,0,6.90775527898214,"4 x 2.5GHz",1.38629436111989,0,1,1,0,1,1,0,0,0,1,0
"933","Asus ZenBook Flip 13 UX362FA 13.3""","Intel Core i5-8265U 1.6GHz","Integrated",-0.444725822061467,"https://images.versus.io/objects/asus-zenbook-flip-13-ux362fa-13-3-intel-core-i5-8265u-1-6ghz-8gb-ram-512gb-ssd.front.master.1599676539570.jpg",0.262364264467491,0,1,6.91798576860697,30.5,4.42718872423573,0.524728528934982,3.45514109697419,"1920 x 1080px",1.63158832825324,"IPS, LCD, LED-backlit",1,0,2.07944154167984,7.78322401633604,1,6.23832462503951,"4 x 1.6GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"934","Asus ZenBook Pro 15 UX580GD 15.6""","Intel Core i9-8950HK 2.9GHz","Integrated",0.587786664902119,"https://images.versus.io/objects/asus-zenbook-pro-15-ux580gd-15-6-intel-core-i9-8950hk-2-9ghz-16gb-ram-512gb-ssd.front.master.1576684641045.jpg",0.631271776841858,0,1,7.41610363685718,36.5,4.90917508345343,0.636576829071551,2.46900789792176,"3840 x 2160px",1.73022214150089,"IPS, LCD, LED-backlit",1,0,2.77258872223978,7.78322401633604,1,6.23832462503951,"6 x 2.9GHz",2.484906649788,0,1,1,0,1,1,0,0,1,2,0
"935","Lenovo ThinkPad T480 14""","Intel Core i5-8250U 1.6GHz","Integrated",0.22314355131421,"https://images.versus.io/objects/lenovo-thinkpad-t480-14-intel-core-i5-8250u-1-6ghz-8gb-ram-500gb-ssd.front.master.1576684641045.jpg",0.457424847038875,0,1,7.35326319812593,33.66,4.82182538049648,0.690644050341827,3.18747549010185,"1366 x 768px",1.55149071327081,"LED-backlit, LCD",0,0,2.07944154167984,7.78322401633604,1,6.21460809842219,"4 x 1.6GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,2,0
"936","Dell Alienware 17 R3 (2016) 17.3""","Intel Core i7-6820HK 2.7GHz","Integrated",0.915890651852815,"https://images.versus.io/objects/dell-alienware-17-r3-2016-17-3-intel-core-i7-6820hk-2-7ghz-16gb-512gb.front.master.1576684641045.jpg",1.3297240096315,0,1,8.36724503526972,43,5.4018515344278,1.23256026117785,1.33341666406266,"3840 x 2160px",1.71151320571678,"IPS, LCD, LED-backlit",0,1,2.77258872223978,7.66528471847135,1,6.23832462503951,"4 x 2.7GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"937","Toshiba Portege Z30T 13.3""","Intel Core i7-5600U 2.6GHz","Integrated",-1.48722027970985,"https://images.versus.io/objects/toshiba-portege-z30t-13-3-intel-core-i7-5600u-2-6ghz-8gb-256gb.front.master.1576684641045.jpg",0.307484699747961,0,1,7.15257656123147,31.6,4.76550102297754,0.576613364303994,3.45514109697419,"1920 x 1080px",1.63040563993356,"IPS, LCD, LED-backlit",1,1,2.07944154167984,7.37775890822787,1,5.54517744447956,"2 x 2.6GHz",1.38629436111989,0,1,1,0,1,1,0,0,1,2,0
"938","Toshiba Tecra W50 15.6""","Intel Core i7-4810MQ 2.8GHz","Integrated",0.246860077931526,"https://images.versus.io/objects/toshiba-tecra-w50-15-6-intel-core-i7-4810mq-2-8ghz-32gb-512gb.front.master.1576684641045.jpg",1.00063188030791,0,1,8.14472359465315,38.1,5.03984126734166,1.26976054486394,2.46900789792176,"3840 x 2160px",1.73022214150089,"LED-backlit, LCD",0,0,3.46573590279973,7.37775890822787,1,6.23832462503951,"4 x 2.8GHz",2.07944154167984,0,1,1,0,1,1,0,0,1,1,0
"939","Dell XPS 15 9550 Touch 15.6""","Intel Core i7 6700HQ 2.6GHz","Integrated",-0.809680996815897,"https://images.versus.io/objects/dell-xps-15-9550-touch-15-6-intel-core-i7-6700hq-2-6ghz-16gb-512gb.front.master.1576684641045.jpg",0.570979546585738,0,1,7.2533521874478,35.71,4.85283422342037,0.518793793415168,2.46900789792176,"3840 x 2160px",1.73022214150089,"IPS, LCD, LED-backlit",1,0,2.77258872223978,7.66528471847135,1,6.23832462503951,"4 x 2.6GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,2,0
"941","MSI GF62 7RE 15.6""","Intel Core i7-7700HQ 2.8GHz","Nvidia GeForce GTX 1050 Ti Laptop ",-0.00100050033358353,"https://images.versus.io/objects/msi-gf62-7re-15-6-intel-core-i7-7700hq-2-8ghz-nvidia-geforce-gtx-1050-ti-laptop-16gb-ram-256gb-ssd-1tb-hdd.front.master.1614544154392.jpg",0.78845736036427,0,1,7.96825821004588,38.3,5.09901951359278,1.06471073699243,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS, LCD, LED-backlit",0,1,2.77258872223978,7.78322401633604,1,5.54517744447956,"4 x 2.8GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"942","Asus ZenBook Flip S UX370UA 13.3""","Intel Core i7-8550U 1.8GHz","Integrated",0.322083499169113,"https://images.versus.io/objects/asus-zenbook-flip-s-ux370ua-13-3-intel-core-i7-8550u-1-8ghz-16gb-ram-512gb-ssd.front.master.1600707448987.jpg",0.0953101798043249,0,1,6.61170899046515,31.3,4.6690470119715,0.0861776962410524,3.45514109697419,"1920 x 1080px",1.63158832825324,"IPS, LCD, LED-backlit",1,0,2.77258872223978,7.78322401633604,1,6.23832462503951,"4 x 1.8GHz",2.07944154167984,0,0,1,0,1,1,0,1,1,1,0
"943","MSI GV62 7RD 15.6""","Intel Core i7-7700HQ 2.8GHz","Nvidia GeForce GTX 1050 Laptop ",-0.468404907882039,"https://images.versus.io/objects/msi-gv62-7rd-15-6-intel-core-i7-7700hq-2-8ghz-nvidia-geforce-gtx-1050-laptop-8gb-ram-1tb-hdd.front.master.1614548509042.jpg",0.78845736036427,0,1,7.96825821004588,38.3,5.09901951359278,1.06471073699243,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS, LCD, LED-backlit",0,1,2.07944154167984,7.78322401633604,0,6.90775527898214,"4 x 2.8GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"944","MSI GF62 7RE 15.6""","Intel Core i7-7700HQ 2.8GHz","Nvidia GeForce GTX 1050 Ti Laptop ",-0.00100050033358353,"https://images.versus.io/objects/msi-gf62-7re-15-6-intel-core-i7-7700hq-2-8ghz-nvidia-geforce-gtx-1050-ti-laptop-16gb-ram-1tb-hdd.front.master.1614545231939.jpg",0.78845736036427,0,1,7.96825821004588,38.3,5.09901951359278,1.06471073699243,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS, LCD, LED-backlit",0,1,2.77258872223978,7.78322401633604,0,6.90775527898214,"4 x 2.8GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"945","Lenovo Yoga 920 13.9""","Intel Core i7-8550U 1.8GHz","Integrated",0.320633172591467,"https://images.versus.io/objects/lenovo-yoga-920-13-9-intel-core-i7-8550u-1-8ghz-16gb-1tb-ssd.front.master.1576684641045.jpg",0.314810739840034,0,1,6.91479345282718,32.3,4.72757866142913,0.332894415273329,3.22707297717297,"3840 x 2160px",1.75074679227164,"IPS, LCD, LED-backlit",1,0,2.77258872223978,7.78322401633604,1,6.90775527898214,"4 x 1.8GHz",2.07944154167984,0,0,1,0,1,1,0,1,1,2,0
"946","HP EliteBook 1040 G3 14""","Intel Core i5-6200U 2.3GHz","Integrated",-1.04982212449868,"https://images.versus.io/objects/hp-elitebook-1040-g3-14-intel-core-i5-6200u-2-3ghz-8gb-128gb-ssd-non-touch.front.master.1576684641045.jpg",0.357674444271816,0,1,7.12331252692696,33.71,4.84148737476408,0.451075619360217,3.18747549010185,"1920 x 1080px",1.62062427222695,"LED-backlit, LCD",0,1,2.07944154167984,7.66528471847135,1,4.85203026391962,"2 x 2.3GHz",1.38629436111989,0,1,1,0,1,1,0,0,1,2,0
